graph_id,run,k,mean_degree,variance,runtime_ms,cycles,paths
0,0,6,2,1,5.199000000, 3,1346
1,0,6,2,1,4.901000000, 0,1624
0,0,6,3,1,7.383000000, 13,7940
1,0,6,3,1,7.524000000, 13,8554
0,0,6,4,1,12.871000000, 105,21502
1,0,6,4,1,13.524000000, 108,22002
0,0,6,5,1,30.502000000, 474,44232
1,0,6,5,1,33.275000000, 465,45184
0,0,6,6,1,59.783000000, 1631,80404
1,0,6,6,1,69.599000000, 1667,80822
0,0,6,7,1,112.673000000, 4441,131476
1,0,6,7,1,98.383000000, 4383,131808
0,0,6,8,1,131.022000000, 10764,200486
1,0,6,8,1,137.221000000, 11015,203892
0,0,6,9,1,200.183000000, 22586,289242
1,0,6,9,1,195.419000000, 22992,291368
0,0,6,10,1,268.091000000, 44886,403754
1,0,6,10,1,276.290000000, 46570,408408
0,0,6,11,1,414.417000000, 82471,541452
1,0,6,11,1,519.862000000, 83403,544230
0,0,6,12,1,643.134000000, 142910,709018
1,0,6,12,1,662.179000000, 145230,713438
0,0,6,13,1,904.563000000, 235201,904216
1,0,6,13,1,1020.339000000, 241921,914290
0,0,6,14,1,1465.888000000, 388256,1155942
1,0,6,14,1,1428.590000000, 393204,1161384
0,0,6,15,1,2088.826000000, 583816,1412804
1,0,6,15,1,2062.658000000, 599550,1429620
0,0,6,16,1,2973.232000000, 903500,1748214
1,0,6,16,1,3104.738000000, 932177,1775256
0,0,6,17,1,4222.415000000, 1311713,2100096
1,0,6,17,1,4209.787000000, 1324918,2109494
0,0,6,18,1,5913.134000000, 1823488,2467624
1,0,6,18,1,6011.546000000, 1845753,2484358
0,0,6,19,1,8243.470000000, 2628425,2955084
1,0,6,19,1,7999.372000000, 2559920,2918282
0,0,6,20,1,11661.375000000, 3530434,3419084
1,0,6,20,1,11338.945000000, 3536870,3420926
0,0,6,2,2,5.466000000, 11,3034
1,0,6,2,2,5.367000000, 9,3138
0,0,6,3,2,8.234000000, 39,9924
1,0,6,3,2,8.320000000, 40,10212
0,0,6,4,2,15.002000000, 144,23512
1,0,6,4,2,14.927000000, 190,25008
0,0,6,5,2,23.282000000, 620,47826
1,0,6,5,2,25.019000000, 613,49108
0,0,6,6,2,38.519000000, 1919,83688
1,0,6,6,2,43.950000000, 2020,86776
0,0,6,7,2,77.663000000, 4933,135120
1,0,6,7,2,69.736000000, 5236,139216
0,0,6,8,2,121.940000000, 11775,205684
1,0,6,8,2,121.518000000, 11889,207276
0,0,6,9,2,186.693000000, 24947,298218
1,0,6,9,2,187.082000000, 25091,300978
0,0,6,10,2,274.252000000, 47565,410282
1,0,6,10,2,277.135000000, 48942,414076
0,0,6,11,2,402.467000000, 84277,544508
1,0,6,11,2,409.892000000, 86679,550074
0,0,6,12,2,595.899000000, 145255,709308
1,0,6,12,2,662.497000000, 150918,720770
0,0,6,13,2,937.273000000, 249084,924290
1,0,6,13,2,940.789000000, 251157,928072
0,0,6,14,2,1400.450000000, 397965,1164072
1,0,6,14,2,1384.170000000, 396084,1161592
0,0,6,15,2,2013.556000000, 600307,1422026
1,0,6,15,2,2059.319000000, 608922,1432540
0,0,6,16,2,2871.710000000, 889012,1727468
1,0,6,16,2,3108.347000000, 928712,1763626
0,0,6,17,2,4182.900000000, 1316820,2096030
1,0,6,17,2,4177.959000000, 1329095,2104568
0,0,6,18,2,5986.913000000, 1842318,2473336
1,0,6,18,2,6277.449000000, 1878543,2499906
0,0,6,19,2,9229.213000000, 2620870,2944732
1,0,6,19,2,8963.334000000, 2690136,2979688
0,0,6,20,2,11939.480000000, 3596280,3440728
1,0,6,20,2,10888.559000000, 3559780,3418412
0,0,6,2,4,7.319000000, 34,6222
1,0,6,2,4,7.012000000, 34,7020
0,0,6,3,4,10.289000000, 96,14956
1,0,6,3,4,10.570000000, 142,16436
0,0,6,4,4,24.463000000, 366,31318
1,0,6,4,4,19.136000000, 400,33102
0,0,6,5,4,30.678000000, 934,56930
1,0,6,5,4,29.077000000, 1115,59232
0,0,6,6,4,49.531000000, 2878,96502
1,0,6,6,4,46.872000000, 2772,97310
0,0,6,7,4,103.777000000, 6847,149538
1,0,6,7,4,104.101000000, 6972,151846
0,0,6,8,4,140.265000000, 13980,218684
1,0,6,8,4,146.713000000, 14916,224674
0,0,6,9,4,201.192000000, 28722,312866
1,0,6,9,4,208.823000000, 30294,318854
0,0,6,10,4,299.559000000, 53434,426738
1,0,6,10,4,310.824000000, 57086,437658
0,0,6,11,4,462.083000000, 94197,565312
1,0,6,11,4,448.923000000, 99954,580098
0,0,6,12,4,668.645000000, 162555,739490
1,0,6,12,4,667.810000000, 167606,750714
0,0,6,13,4,1133.246000000, 265185,941056
1,0,6,13,4,1073.379000000, 274661,956674
0,0,6,14,4,1488.555000000, 420764,1185186
1,0,6,14,4,1592.801000000, 426205,1189468
0,0,6,15,4,2104.913000000, 625960,1438130
1,0,6,15,4,2130.535000000, 653098,1468332
0,0,6,16,4,3143.898000000, 942333,1765422
1,0,6,16,4,3058.843000000, 956290,1775758
0,0,6,17,4,4444.892000000, 1408185,2150892
1,0,6,17,4,4439.592000000, 1379374,2127876
0,0,6,18,4,6279.244000000, 1890333,2488852
1,0,6,18,4,6528.874000000, 2027283,2575080
0,0,6,19,4,8570.714000000, 2705925,2972564
1,0,6,19,4,8767.160000000, 2749057,2994056
0,0,6,20,4,11796.518000000, 3635534,3444062
1,0,6,20,4,11754.579000000, 3780884,3509560
0,0,6,2,8,10.317000000, 193,13622
1,0,6,2,8,10.231000000, 216,15870
0,0,6,3,8,14.613000000, 516,26824
1,0,6,3,8,16.046000000, 581,29826
0,0,6,4,8,22.727000000, 1029,45108
1,0,6,4,8,24.544000000, 1373,49998
0,0,6,5,8,39.214000000, 2645,75594
1,0,6,5,8,38.726000000, 2799,80420
0,0,6,6,8,58.860000000, 5415,118566
1,0,6,6,8,68.786000000, 5725,123526
0,0,6,7,8,97.678000000, 10479,172580
1,0,6,7,8,105.664000000, 11720,181812
0,0,6,8,8,148.171000000, 20885,248220
1,0,6,8,8,153.663000000, 22961,260654
0,0,6,9,8,229.946000000, 40044,347898
1,0,6,9,8,236.904000000, 42469,358236
0,0,6,10,8,333.649000000, 69549,461352
1,0,6,10,8,353.513000000, 75366,482092
0,0,6,11,8,483.853000000, 117632,607864
1,0,6,11,8,513.630000000, 126697,630044
0,0,6,12,8,721.938000000, 191436,780466
1,0,6,12,8,889.466000000, 209319,812344
0,0,6,13,8,1118.232000000, 304411,986320
1,0,6,13,8,1147.395000000, 328319,1020840
0,0,6,14,8,1549.919000000, 460241,1214776
1,0,6,14,8,1784.516000000, 496352,1258266
0,0,6,15,8,2290.992000000, 713014,1509338
1,0,6,15,8,2323.973000000, 725872,1518390
0,0,6,16,8,3463.307000000, 1037165,1816562
1,0,6,16,8,3468.441000000, 1091217,1859906
0,0,6,17,8,4533.971000000, 1437725,2148074
1,0,6,17,8,4972.082000000, 1570612,2240620
0,0,6,18,8,6671.757000000, 2118064,2601816
1,0,6,18,8,6774.947000000, 2162992,2624048
0,0,6,19,8,9288.547000000, 2855503,3021754
1,0,6,19,8,9522.288000000, 3012540,3099634
0,0,6,20,8,11638.768000000, 3788677,3482564
1,0,6,20,8,12625.833000000, 4014230,3575250
0,0,6,2,16,18.301000000, 1510,33104
1,0,6,2,16,18.394000000, 1409,35118
0,0,6,3,16,25.840000000, 2472,52614
1,0,6,3,16,30.226000000, 3049,58488
0,0,6,4,16,38.942000000, 4323,76940
1,0,6,4,16,40.601000000, 4795,81848
0,0,6,5,16,65.625000000, 7948,113822
1,0,6,5,16,59.857000000, 9413,123618
0,0,6,6,16,99.666000000, 14193,163782
1,0,6,6,16,100.415000000, 16116,177218
0,0,6,7,16,141.711000000, 24041,228596
1,0,6,7,16,148.505000000, 28401,245700
0,0,6,8,16,211.254000000, 43478,318292
1,0,6,8,16,230.457000000, 47237,331262
0,0,6,9,16,290.678000000, 64469,406302
1,0,6,9,16,403.103000000, 75849,434878
0,0,6,10,16,555.878000000, 109377,536502
1,0,6,10,16,611.687000000, 117936,554714
0,0,6,11,16,659.818000000, 173312,694176
1,0,6,11,16,746.711000000, 190228,720032
0,0,6,12,16,1027.119000000, 273215,881924
1,0,6,12,16,1020.885000000, 284225,898788
0,0,6,13,16,1386.446000000, 403265,1078100
1,0,6,13,16,1483.543000000, 435975,1119740
0,0,6,14,16,2092.428000000, 585567,1306864
1,0,6,14,16,2099.392000000, 647639,1375686
0,0,6,15,16,2909.418000000, 890817,1621550
1,0,6,15,16,2978.364000000, 927058,1660246
0,0,6,16,16,3845.500000000, 1204558,1905014
1,0,6,16,16,4151.620000000, 1326922,1987598
0,0,6,17,16,5541.438000000, 1731725,2286738
1,0,6,17,16,5919.964000000, 1838779,2350272
0,0,6,18,16,7329.407000000, 2363066,2681432
1,0,6,18,16,8097.324000000, 2619068,2811034
0,0,6,19,16,10150.301000000, 3212125,3134916
1,0,6,19,16,11112.552000000, 3478227,3254708
0,0,6,20,16,13281.534000000, 4291122,3634490
1,0,6,20,16,13961.720000000, 4552578,3730772
