graph_type,graph_id,run,k,mean_degree,runtime_ms,cycles,paths
0,0,0,3,2,0.00440288, 2,140| 396
1,0,0,3,2,0.0037837, 21,392| 2578
0,0,1,3,2,0.00251222, 2,140| 396
1,0,1,3,2,0.00308657, 21,392| 2578
0,0,2,3,2,0.00250459, 2,140| 396
1,0,2,3,2,0.0030477, 21,392| 2578
0,0,3,3,2,0.00250649, 2,140| 396
1,0,3,3,2,0.00305462, 21,392| 2578
0,0,4,3,2,0.00257349, 2,140| 396
1,0,4,3,2,0.00304961, 21,392| 2578
0,0,5,3,2,0.00260568, 2,140| 396
1,0,5,3,2,0.00300074, 21,392| 2578
0,0,6,3,2,0.00261235, 2,140| 396
1,0,6,3,2,0.00305963, 21,392| 2578
0,0,7,3,2,0.00252008, 2,140| 396
1,0,7,3,2,0.00308466, 21,392| 2578
0,0,8,3,2,0.00252748, 2,140| 396
1,0,8,3,2,0.00304222, 21,392| 2578
0,0,9,3,2,0.00257182, 2,140| 396
1,0,9,3,2,0.00304818, 21,392| 2578
0,1,0,3,2,0.00323868, 3,172| 562
1,1,0,3,2,0.0040977, 21,390| 2700
0,1,1,3,2,0.00256038, 3,172| 562
1,1,1,3,2,0.00305891, 21,390| 2700
0,1,2,3,2,0.00263977, 3,172| 562
1,1,2,3,2,0.00305486, 21,390| 2700
0,1,3,3,2,0.00261378, 3,172| 562
1,1,3,3,2,0.00301313, 21,390| 2700
0,1,4,3,2,0.00261307, 3,172| 562
1,1,4,3,2,0.00308371, 21,390| 2700
0,1,5,3,2,0.00256586, 3,172| 562
1,1,5,3,2,0.00309849, 21,390| 2700
0,1,6,3,2,0.00256014, 3,172| 562
1,1,6,3,2,0.00305676, 21,390| 2700
0,1,7,3,2,0.00259781, 3,172| 562
1,1,7,3,2,0.00299191, 21,390| 2700
0,1,8,3,2,0.00265312, 3,172| 562
1,1,8,3,2,0.00306177, 21,390| 2700
0,1,9,3,2,0.00261497, 3,172| 562
1,1,9,3,2,0.00309014, 21,390| 2700
0,0,0,3,3,0.00319815, 0,250| 882
1,0,0,3,3,0.00442386, 102,582| 6228
0,0,1,3,3,0.00264764, 0,250| 882
1,0,1,3,3,0.00387192, 102,582| 6228
0,0,2,3,3,0.00263715, 0,250| 882
1,0,2,3,3,0.00388932, 102,582| 6228
0,0,3,3,3,0.00262332, 0,250| 882
1,0,3,3,3,0.00387812, 102,582| 6228
0,0,4,3,3,0.00260258, 0,250| 882
1,0,4,3,3,0.00384212, 102,582| 6228
0,0,5,3,3,0.00265622, 0,250| 882
1,0,5,3,3,0.0038898, 102,582| 6228
0,0,6,3,3,0.00264573, 0,250| 882
1,0,6,3,3,0.00385141, 102,582| 6228
0,0,7,3,3,0.00265455, 0,250| 882
1,0,7,3,3,0.00384617, 102,582| 6228
0,0,8,3,3,0.00267172, 0,250| 882
1,0,8,3,3,0.00384831, 102,582| 6228
0,0,9,3,3,0.00259805, 0,250| 882
1,0,9,3,3,0.00389194, 102,582| 6228
0,1,0,3,3,0.00345969, 7,304| 1194
1,1,0,3,3,0.00419235, 86,582| 5802
0,1,1,3,3,0.00267315, 7,304| 1194
1,1,1,3,3,0.00368834, 86,582| 5802
0,1,2,3,3,0.00271153, 7,304| 1194
1,1,2,3,3,0.00368237, 86,582| 5802
0,1,3,3,3,0.00271773, 7,304| 1194
1,1,3,3,3,0.00358105, 86,582| 5802
0,1,4,3,3,0.00276661, 7,304| 1194
1,1,4,3,3,0.00360394, 86,582| 5802
0,1,5,3,3,0.00271726, 7,304| 1194
1,1,5,3,3,0.00365782, 86,582| 5802
0,1,6,3,3,0.00276327, 7,304| 1194
1,1,6,3,3,0.00363302, 86,582| 5802
0,1,7,3,3,0.00275707, 7,304| 1194
1,1,7,3,3,0.00364423, 86,582| 5802
0,1,8,3,3,0.00272512, 7,304| 1194
1,1,8,3,3,0.00362277, 86,582| 5802
0,1,9,3,3,0.00265384, 7,304| 1194
1,1,9,3,3,0.0036509, 86,582| 5802
0,0,0,3,4,0.00338578, 9,366| 1602
1,0,0,3,4,0.00481653, 175,768| 8946
0,0,1,3,4,0.00284982, 9,366| 1602
1,0,1,3,4,0.00425172, 175,768| 8946
0,0,2,3,4,0.0028255, 9,366| 1602
1,0,2,3,4,0.00428391, 175,768| 8946
0,0,3,3,4,0.00280046, 9,366| 1602
1,0,3,3,4,0.00429797, 175,768| 8946
0,0,4,3,4,0.00279236, 9,366| 1602
1,0,4,3,4,0.00435591, 175,768| 8946
0,0,5,3,4,0.00289631, 9,366| 1602
1,0,5,3,4,0.00431681, 175,768| 8946
0,0,6,3,4,0.00284195, 9,366| 1602
1,0,6,3,4,0.00423098, 175,768| 8946
0,0,7,3,4,0.00275373, 9,366| 1602
1,0,7,3,4,0.00423336, 175,768| 8946
0,0,8,3,4,0.00276113, 9,366| 1602
1,0,8,3,4,0.00432873, 175,768| 8946
0,0,9,3,4,0.00289011, 9,366| 1602
1,0,9,3,4,0.00422478, 175,768| 8946
0,1,0,3,4,0.00363016, 4,410| 1974
1,1,0,3,4,0.00508094, 176,768| 9194
0,1,1,3,4,0.00296855, 4,410| 1974
1,1,1,3,4,0.00428581, 176,768| 9194
0,1,2,3,4,0.00296926, 4,410| 1974
1,1,2,3,4,0.00431347, 176,768| 9194
0,1,3,3,4,0.00295877, 4,410| 1974
1,1,3,3,4,0.00432324, 176,768| 9194
0,1,4,3,4,0.00300169, 4,410| 1974
1,1,4,3,4,0.004287, 176,768| 9194
0,1,5,3,4,0.00300312, 4,410| 1974
1,1,5,3,4,0.00431585, 176,768| 9194
0,1,6,3,4,0.00299931, 4,410| 1974
1,1,6,3,4,0.00433969, 176,768| 9194
0,1,7,3,4,0.0030098, 4,410| 1974
1,1,7,3,4,0.00432444, 176,768| 9194
0,1,8,3,4,0.00291371, 4,410| 1974
1,1,8,3,4,0.00433397, 176,768| 9194
0,1,9,3,4,0.00299716, 4,410| 1974
1,1,9,3,4,0.00435543, 176,768| 9194
0,0,0,3,5,0.00346112, 13,478| 2502
1,0,0,3,5,0.00540853, 276,950| 12694
0,0,1,3,5,0.00299859, 13,478| 2502
1,0,1,3,5,0.00486493, 276,950| 12694
0,0,2,3,5,0.00300956, 13,478| 2502
1,0,2,3,5,0.00490737, 276,950| 12694
0,0,3,3,5,0.00300646, 13,478| 2502
1,0,3,3,5,0.00490403, 276,950| 12694
0,0,4,3,5,0.0030508, 13,478| 2502
1,0,4,3,5,0.00480676, 276,950| 12694
0,0,5,3,5,0.00300312, 13,478| 2502
1,0,5,3,5,0.00476241, 276,950| 12694
0,0,6,3,5,0.00293994, 13,478| 2502
1,0,6,3,5,0.0048728, 276,950| 12694
0,0,7,3,5,0.00307918, 13,478| 2502
1,0,7,3,5,0.00488353, 276,950| 12694
0,0,8,3,5,0.0030992, 13,478| 2502
1,0,8,3,5,0.00482655, 276,950| 12694
0,0,9,3,5,0.00294304, 13,478| 2502
1,0,9,3,5,0.00481319, 276,950| 12694
0,1,0,3,5,0.00381756, 16,516| 2908
1,1,0,3,5,0.00567389, 336,950| 13244
0,1,1,3,5,0.00300813, 16,516| 2908
1,1,1,3,5,0.00487041, 336,950| 13244
0,1,2,3,5,0.00302482, 16,516| 2908
1,1,2,3,5,0.00485134, 336,950| 13244
0,1,3,3,5,0.0030694, 16,516| 2908
1,1,3,3,5,0.00486732, 336,950| 13244
0,1,4,3,5,0.00310469, 16,516| 2908
1,1,4,3,5,0.00482512, 336,950| 13244
0,1,5,3,5,0.00306845, 16,516| 2908
1,1,5,3,5,0.00483346, 336,950| 13244
0,1,6,3,5,0.00301933, 16,516| 2908
1,1,6,3,5,0.00483608, 336,950| 13244
0,1,7,3,5,0.00305557, 16,516| 2908
1,1,7,3,5,0.00486541, 336,950| 13244
0,1,8,3,5,0.00301814, 16,516| 2908
1,1,8,3,5,0.00501919, 336,950| 13244
0,1,9,3,5,0.00309515, 16,516| 2908
1,1,9,3,5,0.00487876, 336,950| 13244
0,0,0,3,6,0.00376654, 17,566| 3416
1,0,0,3,6,0.00620222, 496,1128| 17582
0,0,1,3,6,0.00323844, 17,566| 3416
1,0,1,3,6,0.00547767, 496,1128| 17582
0,0,2,3,6,0.00313544, 17,566| 3416
1,0,2,3,6,0.00549269, 496,1128| 17582
0,0,3,3,6,0.00324249, 17,566| 3416
1,0,3,3,6,0.00553513, 496,1128| 17582
0,0,4,3,6,0.00313067, 17,566| 3416
1,0,4,3,6,0.0054388, 496,1128| 17582
0,0,5,3,6,0.00321269, 17,566| 3416
1,0,5,3,6,0.00548577, 496,1128| 17582
0,0,6,3,6,0.00321078, 17,566| 3416
1,0,6,3,6,0.00550795, 496,1128| 17582
0,0,7,3,6,0.00325394, 17,566| 3416
1,0,7,3,6,0.00550628, 496,1128| 17582
0,0,8,3,6,0.00319314, 17,566| 3416
1,0,8,3,6,0.00555491, 496,1128| 17582
0,0,9,3,6,0.00329685, 17,566| 3416
1,0,9,3,6,0.00550938, 496,1128| 17582
0,1,0,3,6,0.00403404, 23,608| 3914
1,1,0,3,6,0.00623465, 475,1128| 17232
0,1,1,3,6,0.00326133, 23,608| 3914
1,1,1,3,6,0.00547242, 475,1128| 17232
0,1,2,3,6,0.00331903, 23,608| 3914
1,1,2,3,6,0.00545287, 475,1128| 17232
0,1,3,3,6,0.00321507, 23,608| 3914
1,1,3,3,6,0.00546408, 475,1128| 17232
0,1,4,3,6,0.00331974, 23,608| 3914
1,1,4,3,6,0.00545597, 475,1128| 17232
0,1,5,3,6,0.00320435, 23,608| 3914
1,1,5,3,6,0.00546455, 475,1128| 17232
0,1,6,3,6,0.00332379, 23,608| 3914
1,1,6,3,6,0.0054152, 475,1128| 17232
0,1,7,3,6,0.00321817, 23,608| 3914
1,1,7,3,6,0.00558591, 475,1128| 17232
0,1,8,3,6,0.00330329, 23,608| 3914
1,1,8,3,6,0.00543261, 475,1128| 17232
0,1,9,3,6,0.00327015, 23,608| 3914
1,1,9,3,6,0.00547409, 475,1128| 17232
0,0,0,3,7,0.00401211, 39,648| 4404
1,0,0,3,7,0.00717974, 708,1302| 22378
0,0,1,3,7,0.00345063, 39,648| 4404
1,0,1,3,7,0.00658584, 708,1302| 22378
0,0,2,3,7,0.00345635, 39,648| 4404
1,0,2,3,7,0.00651836, 708,1302| 22378
0,0,3,3,7,0.00342345, 39,648| 4404
1,0,3,3,7,0.00652194, 708,1302| 22378
0,0,4,3,7,0.00338888, 39,648| 4404
1,0,4,3,7,0.00662756, 708,1302| 22378
0,0,5,3,7,0.00342989, 39,648| 4404
1,0,5,3,7,0.00664616, 708,1302| 22378
0,0,6,3,7,0.00340605, 39,648| 4404
1,0,6,3,7,0.00667095, 708,1302| 22378
0,0,7,3,7,0.00346589, 39,648| 4404
1,0,7,3,7,0.00666094, 708,1302| 22378
0,0,8,3,7,0.00338888, 39,648| 4404
1,0,8,3,7,0.00666022, 708,1302| 22378
0,0,9,3,7,0.00338602, 39,648| 4404
1,0,9,3,7,0.00670719, 708,1302| 22378
0,1,0,3,7,0.00441146, 52,700| 5128
1,1,0,3,7,0.00721955, 674,1302| 22444
0,1,1,3,7,0.00363803, 52,700| 5128
1,1,1,3,7,0.00656056, 674,1302| 22444
0,1,2,3,7,0.00365496, 52,700| 5128
1,1,2,3,7,0.00655484, 674,1302| 22444
0,1,3,3,7,0.00363255, 52,700| 5128
1,1,3,3,7,0.00655437, 674,1302| 22444
0,1,4,3,7,0.00365233, 52,700| 5128
1,1,4,3,7,0.00653958, 674,1302| 22444
0,1,5,3,7,0.00360203, 52,700| 5128
1,1,5,3,7,0.00646782, 674,1302| 22444
0,1,6,3,7,0.00354433, 52,700| 5128
1,1,6,3,7,0.00650883, 674,1302| 22444
0,1,7,3,7,0.00355434, 52,700| 5128
1,1,7,3,7,0.00652838, 674,1302| 22444
0,1,8,3,7,0.00353289, 52,700| 5128
1,1,8,3,7,0.00657225, 674,1302| 22444
0,1,9,3,7,0.00358796, 52,700| 5128
1,1,9,3,7,0.00659418, 674,1302| 22444
0,0,0,3,8,0.00427818, 60,756| 5922
1,0,0,3,8,0.00831032, 1041,1472| 29018
0,0,1,3,8,0.0037365, 60,756| 5922
1,0,1,3,8,0.0076344, 1041,1472| 29018
0,0,2,3,8,0.00378466, 60,756| 5922
1,0,2,3,8,0.00751972, 1041,1472| 29018
0,0,3,3,8,0.003685, 60,756| 5922
1,0,3,3,8,0.00751781, 1041,1472| 29018
0,0,4,3,8,0.00369477, 60,756| 5922
1,0,4,3,8,0.00746417, 1041,1472| 29018
0,0,5,3,8,0.00377178, 60,756| 5922
1,0,5,3,8,0.00755692, 1041,1472| 29018
0,0,6,3,8,0.00375295, 60,756| 5922
1,0,6,3,8,0.00750995, 1041,1472| 29018
0,0,7,3,8,0.00373912, 60,756| 5922
1,0,7,3,8,0.00751305, 1041,1472| 29018
0,0,8,3,8,0.0036695, 60,756| 5922
1,0,8,3,8,0.00755715, 1041,1472| 29018
0,0,9,3,8,0.00370693, 60,756| 5922
1,0,9,3,8,0.00751758, 1041,1472| 29018
0,1,0,3,8,0.00443864, 74,792| 6520
1,1,0,3,8,0.00821519, 1026,1472| 28840
0,1,1,3,8,0.00383973, 74,792| 6520
1,1,1,3,8,0.00753498, 1026,1472| 28840
0,1,2,3,8,0.00392628, 74,792| 6520
1,1,2,3,8,0.00755787, 1026,1472| 28840
0,1,3,3,8,0.00381875, 74,792| 6520
1,1,3,3,8,0.00743747, 1026,1472| 28840
0,1,4,3,8,0.00390553, 74,792| 6520
1,1,4,3,8,0.00747752, 1026,1472| 28840
0,1,5,3,8,0.00389624, 74,792| 6520
1,1,5,3,8,0.00749421, 1026,1472| 28840
0,1,6,3,8,0.00385642, 74,792| 6520
1,1,6,3,8,0.00746822, 1026,1472| 28840
0,1,7,3,8,0.00386667, 74,792| 6520
1,1,7,3,8,0.00760818, 1026,1472| 28840
0,1,8,3,8,0.00394702, 74,792| 6520
1,1,8,3,8,0.00755548, 1026,1472| 28840
0,1,9,3,8,0.00390291, 74,792| 6520
1,1,9,3,8,0.00758266, 1026,1472| 28840
0,0,0,3,9,0.00456047, 62,840| 7276
1,0,0,3,9,0.0088923, 1236,1638| 33700
0,0,1,3,9,0.00395942, 62,840| 7276
1,0,1,3,9,0.00831294, 1236,1638| 33700
0,0,2,3,9,0.00393105, 62,840| 7276
1,0,2,3,9,0.00815487, 1236,1638| 33700
0,0,3,3,9,0.00397825, 62,840| 7276
1,0,3,3,9,0.00818729, 1236,1638| 33700
0,0,4,3,9,0.00400519, 62,840| 7276
1,0,4,3,9,0.00814152, 1236,1638| 33700
0,0,5,3,9,0.00410891, 62,840| 7276
1,0,5,3,9,0.00828838, 1236,1638| 33700
0,0,6,3,9,0.00396681, 62,840| 7276
1,0,6,3,9,0.00822544, 1236,1638| 33700
0,0,7,3,9,0.00398421, 62,840| 7276
1,0,7,3,9,0.00829434, 1236,1638| 33700
0,0,8,3,9,0.00397229, 62,840| 7276
1,0,8,3,9,0.00819349, 1236,1638| 33700
0,0,9,3,9,0.00399351, 62,840| 7276
1,0,9,3,9,0.00825095, 1236,1638| 33700
0,1,0,3,9,0.00489497, 83,876| 7946
1,1,0,3,9,0.00921845, 1368,1638| 34906
0,1,1,3,9,0.004107, 83,876| 7946
1,1,1,3,9,0.0083673, 1368,1638| 34906
0,1,2,3,9,0.00412178, 83,876| 7946
1,1,2,3,9,0.00844526, 1368,1638| 34906
0,1,3,3,9,0.00418353, 83,876| 7946
1,1,3,3,9,0.00839329, 1368,1638| 34906
0,1,4,3,9,0.00410223, 83,876| 7946
1,1,4,3,9,0.0083952, 1368,1638| 34906
0,1,5,3,9,0.00410843, 83,876| 7946
1,1,5,3,9,0.00840688, 1368,1638| 34906
0,1,6,3,9,0.00417113, 83,876| 7946
1,1,6,3,9,0.00839019, 1368,1638| 34906
0,1,7,3,9,0.00410056, 83,876| 7946
1,1,7,3,9,0.00838804, 1368,1638| 34906
0,1,8,3,9,0.00412798, 83,876| 7946
1,1,8,3,9,0.00845575, 1368,1638| 34906
0,1,9,3,9,0.00411797, 83,876| 7946
1,1,9,3,9,0.00838733, 1368,1638| 34906
0,0,0,3,10,0.00481415, 97,930| 8898
1,0,0,3,10,0.00992513, 1761,1800| 41450
0,0,1,3,10,0.00425982, 97,930| 8898
1,0,1,3,10,0.00923705, 1761,1800| 41450
0,0,2,3,10,0.00421762, 97,930| 8898
1,0,2,3,10,0.0093174, 1761,1800| 41450
0,0,3,3,10,0.00432301, 97,930| 8898
1,0,3,3,10,0.00930262, 1761,1800| 41450
0,0,4,3,10,0.00429487, 97,930| 8898
1,0,4,3,10,0.00931072, 1761,1800| 41450
0,0,5,3,10,0.00433159, 97,930| 8898
1,0,5,3,10,0.00926733, 1761,1800| 41450
0,0,6,3,10,0.00430083, 97,930| 8898
1,0,6,3,10,0.00930309, 1761,1800| 41450
0,0,7,3,10,0.00426459, 97,930| 8898
1,0,7,3,10,0.00923324, 1761,1800| 41450
0,0,8,3,10,0.00428343, 97,930| 8898
1,0,8,3,10,0.00923204, 1761,1800| 41450
0,0,9,3,10,0.00429702, 97,930| 8898
1,0,9,3,10,0.00933886, 1761,1800| 41450
0,1,0,3,10,0.00526142, 119,970| 9708
1,1,0,3,10,0.0100465, 1721,1800| 41468
0,1,1,3,10,0.00445223, 119,970| 9708
1,1,1,3,10,0.00938797, 1721,1800| 41468
0,1,2,3,10,0.00445986, 119,970| 9708
1,1,2,3,10,0.00925398, 1721,1800| 41468
0,1,3,3,10,0.00448656, 119,970| 9708
1,1,3,3,10,0.00927353, 1721,1800| 41468
0,1,4,3,10,0.00445867, 119,970| 9708
1,1,4,3,10,0.00927615, 1721,1800| 41468
0,1,5,3,10,0.00448298, 119,970| 9708
1,1,5,3,10,0.00931334, 1721,1800| 41468
0,1,6,3,10,0.004498, 119,970| 9708
1,1,6,3,10,0.00933218, 1721,1800| 41468
0,1,7,3,10,0.00445962, 119,970| 9708
1,1,7,3,10,0.00927234, 1721,1800| 41468
0,1,8,3,10,0.00447965, 119,970| 9708
1,1,8,3,10,0.0093081, 1721,1800| 41468
0,1,9,3,10,0.0044632, 119,970| 9708
1,1,9,3,10,0.00928974, 1721,1800| 41468
0,0,0,4,2,0.00251055, 2,256
1,0,0,4,2,0.00313878, 72,2186
0,0,1,4,2,0.00251532, 2,256
1,0,1,4,2,0.00315094, 72,2186
0,0,2,4,2,0.00250626, 2,256
1,0,2,4,2,0.0030973, 72,2186
0,0,3,4,2,0.00251126, 2,256
1,0,3,4,2,0.00310135, 72,2186
0,0,4,4,2,0.00257182, 2,256
1,0,4,4,2,0.00310278, 72,2186
0,0,5,4,2,0.00259352, 2,256
1,0,5,4,2,0.00311828, 72,2186
0,0,6,4,2,0.00266433, 2,256
1,0,6,4,2,0.00311708, 72,2186
0,0,7,4,2,0.00261736, 2,256
1,0,7,4,2,0.00304437, 72,2186
0,0,8,4,2,0.00259399, 2,256
1,0,8,4,2,0.00302196, 72,2186
0,0,9,4,2,0.0025456, 2,256
1,0,9,4,2,0.00308013, 72,2186
0,1,0,4,2,0.00253773, 2,390
1,1,0,4,2,0.00315118, 77,2310
0,1,1,4,2,0.00253129, 2,390
1,1,1,4,2,0.00310111, 77,2310
0,1,2,4,2,0.00252342, 2,390
1,1,2,4,2,0.00310063, 77,2310
0,1,3,4,2,0.00263572, 2,390
1,1,3,4,2,0.00311637, 77,2310
0,1,4,4,2,0.00262451, 2,390
1,1,4,4,2,0.00303745, 77,2310
0,1,5,4,2,0.0026567, 2,390
1,1,5,4,2,0.00306606, 77,2310
0,1,6,4,2,0.00252628, 2,390
1,1,6,4,2,0.00313663, 77,2310
0,1,7,4,2,0.00259662, 2,390
1,1,7,4,2,0.00311089, 77,2310
0,1,8,4,2,0.00263762, 2,390
1,1,8,4,2,0.00304627, 77,2310
0,1,9,4,2,0.0027492, 2,390
1,1,9,4,2,0.00305772, 77,2310
0,0,0,4,3,0.0025804, 4,632
1,0,0,4,3,0.00428271, 523,5646
0,0,1,4,3,0.00270891, 4,632
1,0,1,4,3,0.00418472, 523,5646
0,0,2,4,3,0.00272989, 4,632
1,0,2,4,3,0.00417662, 523,5646
0,0,3,4,3,0.00268698, 4,632
1,0,3,4,3,0.00418925, 523,5646
0,0,4,4,3,0.00262761, 4,632
1,0,4,4,3,0.00425029, 523,5646
0,0,5,4,3,0.0026319, 4,632
1,0,5,4,3,0.00422192, 523,5646
0,0,6,4,3,0.00268269, 4,632
1,0,6,4,3,0.004282, 523,5646
0,0,7,4,3,0.00271511, 4,632
1,0,7,4,3,0.00422001, 523,5646
0,0,8,4,3,0.00263381, 4,632
1,0,8,4,3,0.00423265, 523,5646
0,0,9,4,3,0.00268912, 4,632
1,0,9,4,3,0.00424767, 523,5646
0,1,0,4,3,0.0027616, 5,890
1,1,0,4,3,0.00405645, 449,5220
0,1,1,4,3,0.00281, 5,890
1,1,1,4,3,0.00404096, 449,5220
0,1,2,4,3,0.00276589, 5,890
1,1,2,4,3,0.00404382, 449,5220
0,1,3,4,3,0.00270963, 5,890
1,1,3,4,3,0.00407863, 449,5220
0,1,4,4,3,0.00276756, 5,890
1,1,4,4,3,0.00400543, 449,5220
0,1,5,4,3,0.00273395, 5,890
1,1,5,4,3,0.00404024, 449,5220
0,1,6,4,3,0.00279284, 5,890
1,1,6,4,3,0.00403476, 449,5220
0,1,7,4,3,0.00276303, 5,890
1,1,7,4,3,0.00400496, 449,5220
0,1,8,4,3,0.0027225, 5,890
1,1,8,4,3,0.00407982, 449,5220
0,1,9,4,3,0.00273538, 5,890
1,1,9,4,3,0.00399923, 449,5220
0,0,0,4,4,0.00273871, 19,1236
1,0,0,4,4,0.0051229, 1132,8178
0,0,1,4,4,0.00281286, 19,1236
1,0,1,4,4,0.00511599, 1132,8178
0,0,2,4,4,0.00275302, 19,1236
1,0,2,4,4,0.0051527, 1132,8178
0,0,3,4,4,0.00279999, 19,1236
1,0,3,4,4,0.00515413, 1132,8178
0,0,4,4,4,0.00280046, 19,1236
1,0,4,4,4,0.00509715, 1132,8178
0,0,5,4,4,0.00278783, 19,1236
1,0,5,4,4,0.00519705, 1132,8178
0,0,6,4,4,0.00283289, 19,1236
1,0,6,4,4,0.00507712, 1132,8178
0,0,7,4,4,0.00273442, 19,1236
1,0,7,4,4,0.00513744, 1132,8178
0,0,8,4,4,0.00278854, 19,1236
1,0,8,4,4,0.00517344, 1132,8178
0,0,9,4,4,0.00278997, 19,1236
1,0,9,4,4,0.00517464, 1132,8178
0,1,0,4,4,0.00289464, 30,1564
1,1,0,4,4,0.005162, 1235,8426
0,1,1,4,4,0.00283289, 30,1564
1,1,1,4,4,0.0052073, 1235,8426
